row_id,order_id,order_date_id,ship_date_id,product_id,customer_id,postalcode,shipmode_id,sales,quantity
1,CA-2017-152156,2017-11-08,2017-11-11,FUR-BO-10001798,CG-12520,42420,3,261.96,2
2,CA-2017-152156,2017-11-08,2017-11-11,FUR-CH-10000454,CG-12520,42420,3,731.94,5
3,CA-2017-138688,2017-06-12,2017-06-16,OFF-LA-10000240,DV-13045,90036,3,14.62,2
4,US-2016-108966,2016-10-11,2016-10-18,FUR-TA-10000577,SO-20335,33311,4,957.5775,5
5,US-2016-108966,2016-10-11,2016-10-18,OFF-ST-10000760,SO-20335,33311,4,22.368,2
6,CA-2015-115812,2015-06-09,2015-06-14,FUR-FU-10001487,BH-11710,90032,4,48.86,3
7,CA-2015-115812,2015-06-09,2015-06-14,OFF-AR-10002833,BH-11710,90032,4,7.28,2
8,CA-2015-115812,2015-06-09,2015-06-14,TEC-PH-10002275,BH-11710,90032,4,907.152,3
9,CA-2015-115812,2015-06-09,2015-06-14,OFF-BI-10003910,BH-11710,90032,4,18.504,8
10,CA-2015-115812,2015-06-09,2015-06-14,OFF-AP-10002892,BH-11710,90032,4,114.9,5
11,CA-2015-115812,2015-06-09,2015-06-14,FUR-TA-10001539,BH-11710,90032,4,1706.184,12
12,CA-2015-115812,2015-06-09,2015-06-14,TEC-PH-10002033,BH-11710,90032,4,911.424,4
13,CA-2018-114412,2018-04-15,2018-04-20,OFF-PA-10002365,AA-10480,28027,4,15.552,2
14,CA-2017-161389,2017-12-05,2017-12-10,OFF-BI-10003656,IM-15070,98103,4,407.976,8
15,US-2016-118983,2016-11-22,2016-11-26,OFF-AP-10002311,HP-14815,76106,4,68.81,5
16,US-2016-118983,2016-11-22,2016-11-26,OFF-BI-10000756,HP-14815,76106,4,2.544,2
17,CA-2015-105893,2015-11-11,2015-11-18,OFF-ST-10004186,PK-19075,53711,4,665.88,3
18,CA-2015-167164,2015-05-13,2015-05-15,OFF-ST-10000107,AG-10270,84084,3,55.5,1
19,CA-2015-143336,2015-08-27,2015-09-01,OFF-AR-10003056,ZD-21925,94109,3,8.56,2
20,CA-2015-143336,2015-08-27,2015-09-01,TEC-PH-10001949,ZD-21925,94109,3,213.48,1
